Sales_ID,name,year,selling_price_INR,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,cylinders,displacement,acceleration,weight,,State or Province,Region
93,Hyundai,2015,29133000,45000,Petrol,Dealer,Manual,Second_Owner,23.4 kmpl,1086,72 bhp,99.04Nm@ 4500rpm,5,3,1141,12.1,875,,Maharashtra,West
94,Volkswagen,2012,44405000,12000,Petrol,Dealer,Manual,Second_Owner,15.0 kmpl,1598,104 bhp,153Nm@ 3800rpm,5,5,1777,11.6,1366,,Karnataka,South
95,Maruti,2009,14525000,55500,Petrol,Dealer,Manual,First_Owner,9.0 kmpl,998,186 bhp,90Nm@ 3500rpm,5,8,3750,11.6,1710,,Tamil Nadu,South
96,Hyundai,2013,43575000,61500,Petrol,Dealer,Manual,First_Owner,9.2 kmpl,1197,258 bhp,113.7Nm@ 4000rpm,5,8,3819,9.3,1625,,West Bengal,East
97,Maruti,2016,49800000,150000,Diesel,Individual,Manual,First_Owner,23.7 kmpl,1248,64 bhp,190Nm@ 2000rpm,5,3,1145,11.1,801,,Karnataka,South
98,Hyundai,2016,46895000,72000,Petrol,Dealer,Automatic,First_Owner,16.3 kmpl,1197,108 bhp,114Nm@ 4000rpm,5,5,1626,6.9,1401,,Maharashtra,West
104,Maruti,2016,22410000,100000,Petrol,Individual,Manual,Third_Owner,13.5 kmpl,1196,121 bhp,101Nm@ 3000rpm,7,5,1608,6.8,1439,,Maharashtra,West
105,Maruti,2018,50630000,35000,Petrol,Individual,Manual,First_Owner,20.9 kmpl,1197,71 bhp,115Nm@ 4000rpm,5,3,1148,11.3,842,,Delhi,North
106,Mahindra,2014,51875000,70000,Diesel,Individual,Automatic,Second_Owner,19.9 kmpl,2179,88 bhp,290Nm@ 1800-2800rpm,8,4,1291,6.6,1299,,Delhi,North
122,Hyundai,2016,94620000,50000,Diesel,Individual,Manual,First_Owner,22.4 kmpl,1582,60 bhp,259.9Nm@ 1900-2750rpm,5,3,934,8.2,858,,Tamil Nadu,South
124,Maruti,2012,30710000,175000,Diesel,Individual,Manual,Fourth_Above_Owner,15.7 kmpl,1248,86 bhp,190Nm@ 2000rpm,5,4,1541,8.8,1097,,Karnataka,South
125,Renault,2018,29050000,25000,Petrol,Individual,Manual,First_Owner,24.0 kmpl,999,67 bhp,91Nm@ 4250rpm,5,3,912,11.1,859,,Karnataka,South
126,Maruti,2015,29880000,40000,Petrol,Individual,Manual,Second_Owner,21.7 kmpl,998,71 bhp,90Nm@ 3500rpm,5,4,1561,11.8,1013,,Delhi,North
127,Maruti,2008,8715000,65000,Petrol,Individual,Manual,Fourth_Above_Owner,15.2 kmpl,796,81 bhp,62Nm@ 3000rpm,5,4,1444,6.3,1216,,Karnataka,South
156,Skoda,2016,53535000,11000,Petrol,Dealer,Automatic,First_Owner,20.2 kmpl,1598,72 bhp,153Nm@ 3800rpm,5,3,835,13.1,816,,Karnataka,South
159,Mercedes,2017,224100000,16000,Petrol,Dealer,Automatic,First_Owner,20.8 kmpl,1991,74 bhp,300Nm@ 1200-1400rpm,5,4,1247,11.1,1161,,Maharashtra,West
160,Honda,2017,72625000,18000,Petrol,Dealer,Automatic,First_Owner,13.3 kmpl,1497,169 bhp,146Nm@ 4800rpm,5,6,2975,10.3,1746,,Delhi,North
161,Toyota,2019,74284917,9654,Petrol,Dealer,Automatic,First_Owner,11.4 kmpl,1197,229 bhp,113Nm@ 4200rpm,5,8,3369,4,2167,,West Bengal,East
162,Maruti,2011,14525000,11000,Petrol,Dealer,Manual,First_Owner,14.0 kmpl,998,124 bhp,90Nm@ 3500rpm,5,5,1805,7.7,1438,,Delhi,North
172,Volkswagen,2011,24900000,100000,Diesel,Individual,Manual,Second_Owner,17.3 kmpl,1598,83 bhp,250Nm@ 1500-2500rpm,5,4,1281,9.2,1105,,West Bengal,East
184,Hyundai,2016,32038000,44000,Petrol,Individual,Manual,Second_Owner,19.9 kmpl,1197,79 bhp,114Nm@ 4000rpm,5,4,1273,6.5,1289,,Maharashtra,West
185,Honda,2005,8300000,120000,Petrol,Individual,Manual,Second_Owner,13.9 kmpl,1493,100 bhp,13.1kgm@ 4600rpm,5,5,1639,7.9,1270,,Tamil Nadu,South
187,Daewoo,2000,8300000,60000,Petrol,Individual,Manual,First_Owner,20.3 kmpl,796,103 bhp,71Nm@ 3500rpm,5,4,1588,11.4,1298,,Karnataka,South
188,Toyota,2014,145250000,30000,Diesel,Individual,Manual,Second_Owner,15.4 kmpl,2982,123 bhp,343Nm@ 1400-3400rpm,7,5,1868,6.3,1216,,Maharashtra,West
192,Maruti,2005,7055000,90000,Petrol,Individual,Manual,First_Owner,20.2 kmpl,993,74 bhp,78Nm@ 4500rpm,5,3,989,9.5,895,,Karnataka,South
195,Maruti,2016,38179917,60000,Petrol,Individual,Manual,Second_Owner,12.9 kmpl,1197,169 bhp,115Nm@ 4000rpm,5,6,2732,11,1699,,Tamil Nadu,South
196,Hyundai,2005,5395000,86000,Petrol,Individual,Manual,First_Owner,12.6 kmpl,1341,170 bhp,115Nm@ 3200rpm,5,6,2367,7.7,1655,,Tamil Nadu,South
197,Hyundai,2020,59760000,5000,Petrol,Individual,Manual,First_Owner,10.3 kmpl,1197,253 bhp,117nm@ 4000rpm,5,8,3201,4.7,2063,,Maharashtra,West
199,Tata,2019,43160000,14000,Petrol,Individual,Manual,First_Owner,16.3 kmpl,1199,95 bhp,114Nm@ 3500rpm,5,4,1485,9,1237,,Tamil Nadu,South
206,Hyundai,2013,31125000,70000,Petrol,Individual,Manual,First_Owner,7.1 kmpl,1197,196 bhp,113.7Nm@ 4000rpm,5,8,3596,7.3,1812,,West Bengal,East
210,Maruti,2018,22410000,20000,Petrol,Individual,Manual,First_Owner,21.3 kmpl,796,67 bhp,69Nm@ 3500rpm,5,3,903,10.4,923,,Tamil Nadu,South
214,Hyundai,2013,26560000,31377,Petrol,Individual,Manual,Second_Owner,11.8 kmpl,1197,166 bhp,113.7Nm@ 4000rpm,5,6,2704,6.1,1553,,Karnataka,South
217,Toyota,2012,45650000,100000,Petrol,Individual,Automatic,First_Owner,22.5 kmpl,1794,79 bhp,173Nm@ 4000rpm,5,3,1023,8.7,932,,Karnataka,South
218,Honda,2012,21995000,60000,Petrol,Individual,Manual,First_Owner,21.1 kmpl,1198,57 bhp,109Nm@ 4500rpm,5,3,1003,10.8,805,,Karnataka,South
219,Maruti,2018,68890000,5000,Petrol,Individual,Automatic,First_Owner,16.1 kmpl,1197,85 bhp,115Nm@ 4000rpm,5,4,1388,6.8,1299,,Karnataka,South
220,Tata,2017,66400000,60000,Diesel,Individual,Manual,First_Owner,22.5 kmpl,2179,56 bhp,320Nm@ 1500-3000rpm,7,3,894,8,930,,West Bengal,East
222,Renault,2018,27805000,30000,Petrol,Individual,Manual,First_Owner,13.3 kmpl,799,154 bhp,72Nm@ 4386rpm,5,6,2714,6.3,1573,,Delhi,North
223,Datsun,2017,27307000,80000,Petrol,Individual,Manual,Second_Owner,11.2 kmpl,1198,200 bhp,104Nm@ 4000rpm,5,8,3058,10.3,1756,,Maharashtra,West
224,Maruti,2017,64325000,75000,Diesel,Individual,Manual,First_Owner,13.5 kmpl,1248,134 bhp,200Nm@ 1750rpm,5,6,2572,6,1528,,Karnataka,South
225,Hyundai,2020,43492000,32000,Petrol,Individual,Manual,First_Owner,15.1 kmpl,1197,108 bhp,113.75nm@ 4000rpm,5,4,1520,5.7,1260,,Tamil Nadu,South
226,Maruti,2015,20335000,40000,Petrol,Individual,Manual,First_Owner,12.6 kmpl,796,135 bhp,69Nm@ 3500rpm,5,6,2985,12.2,1410,,Karnataka,South
230,Nissan,2014,45650000,37000,Petrol,Individual,Manual,First_Owner,13.3 kmpl,1498,133 bhp,134Nm@ 4000rpm,5,5,1766,7.6,1442,,Tamil Nadu,South
231,Ford,2018,75530000,15000,Petrol,Individual,Manual,First_Owner,9.6 kmpl,1497,246 bhp,150Nm@ 4500rpm,5,8,3421,6.1,2244,,Tamil Nadu,South
232,Nissan,2015,24900000,80000,Petrol,Individual,Manual,First_Owner,14.3 kmpl,1198,134 bhp,104Nm@ 4000rpm,5,5,1880,9.7,1402,,Karnataka,South
233,Maruti,2016,29050000,140000,Petrol,Individual,Manual,First_Owner,16.6 kmpl,998,107 bhp,90Nm@ 3500rpm,5,5,1822,8.9,1305,,West Bengal,East
234,Mahindra,2013,74700000,70000,Diesel,Individual,Manual,First_Owner,15.7 kmpl,2696,73 bhp,340Nm@ 1800-3250rpm,7,4,1217,10.8,1136,,Tamil Nadu,South
237,Hyundai,2017,91300000,37000,Diesel,Individual,Manual,First_Owner,20.1 kmpl,1582,79 bhp,259.9Nm@ 1900-2750rpm,5,3,1157,6.7,858,,Tamil Nadu,South
243,Hyundai,2007,6640000,120000,Petrol,Individual,Manual,Second_Owner,14.1 kmpl,1495,118 bhp,"12.5@ 3,500(kgm@ rpm)",5,5,1637,12.5,1202,,Karnataka,South
244,Mahindra,2012,44405000,120000,Diesel,Individual,Manual,First_Owner,14.0 kmpl,2179,175 bhp,330Nm@ 1600-2800rpm,7,6,2497,8.8,1664,,Tamil Nadu,South
256,Hyundai,2017,66400000,39000,Diesel,Individual,Manual,First_Owner,23.3 kmpl,1396,60 bhp,219.7Nm@ 1500-2750rpm,5,3,1197,5.7,979,,Tamil Nadu,South
257,Maruti,2017,41500000,75000,Diesel,Individual,Manual,First_Owner,14.0 kmpl,1248,130 bhp,190Nm@ 2000rpm,5,6,2359,7,1640,,Karnataka,South
264,Maruti,2012,28220000,110000,Diesel,Individual,Manual,First_Owner,14.3 kmpl,1248,151 bhp,190Nm@ 2000rpm,5,6,2221,9.9,1662,,Karnataka,South
272,Mahindra,2017,64740000,35000,Diesel,Individual,Manual,First_Owner,24.9 kmpl,2498,56 bhp,247Nm@ 1800-2000rpm,6,3,1041,9.4,830,,Maharashtra,West
273,Maruti,2012,26560000,193000,Diesel,Individual,Manual,First_Owner,23.1 kmpl,1248,68 bhp,190Nm@ 2000rpm,5,3,1096,7.6,804,,West Bengal,East
274,Maruti,2014,31125000,80000,Petrol,Individual,Manual,First_Owner,13.5 kmpl,1197,134 bhp,113Nm@ 4200rpm,5,6,2714,8.7,1751,,West Bengal,East
278,Tata,2015,41500000,75000,Diesel,Individual,Manual,First_Owner,21.6 kmpl,2956,91 bhp,223Nm@ 1600-2200rpm,7,4,1474,6,1016,,Tamil Nadu,South
279,Tata,2017,29050000,120000,Diesel,Individual,Manual,First_Owner,8.6 kmpl,1047,196 bhp,140Nm@ 1800-3000rpm,5,8,3951,11.8,2110,,West Bengal,East
284,Tata,2012,24070000,60000,Diesel,Individual,Manual,First_Owner,10.5 kmpl,1248,197 bhp,200Nm@ 1750-3000rpm,5,8,3498,10.8,1677,,Tamil Nadu,South
285,Maruti,2005,9130000,45000,Petrol,Individual,Manual,Second_Owner,19.4 kmpl,796,87 bhp,62Nm@ 3000rpm,5,4,1505,7.4,1134,,Maharashtra,West
296,Maruti,2012,27390000,50000,Petrol,Individual,Manual,Second_Owner,21.5 kmpl,1197,59 bhp,114Nm@ 4000rpm,5,3,809,12.1,882,,Karnataka,South
298,Mahindra,2014,42329917,120000,Diesel,Individual,Manual,First_Owner,14.8 kmpl,2523,135 bhp,195Nm@ 1400-2200rpm,7,6,2482,5.3,1417,,Karnataka,South
299,Hyundai,2014,41500000,70000,Petrol,Individual,Manual,First_Owner,9.6 kmpl,1591,217 bhp,154.9Nm@ 4200rpm,5,8,3947,8.6,2071,,Karnataka,South
301,Maruti,2019,56025000,16500,Petrol,Individual,Manual,First_Owner,13.2 kmpl,1197,148 bhp,113Nm@ 4200rpm,5,6,2562,11.1,1624,,West Bengal,East
308,Maruti,2014,33200000,70000,Petrol,Individual,Manual,Second_Owner,19.8 kmpl,1197,99 bhp,114Nm@ 4000rpm,5,4,1388,8.9,1245,,Maharashtra,West
311,Maruti,2006,6723000,80000,Petrol,Individual,Manual,First_Owner,11.5 kmpl,796,162 bhp,59Nm@ 2500rpm,4,6,2747,6.1,1729,,West Bengal,East
312,Honda,2017,107900000,30000,Diesel,Individual,Manual,First_Owner,17.2 kmpl,1498,76 bhp,200Nm@ 1750rpm,5,4,1474,10.6,1215,,West Bengal,East
349,Datsun,2016,27805000,40000,Petrol,Dealer,Manual,First_Owner,24.0 kmpl,1198,77 bhp,104Nm@ 4000rpm,5,3,1097,10.1,803,,Maharashtra,West
354,Volkswagen,2019,53120000,10000,Petrol,Dealer,Manual,First_Owner,17.9 kmpl,1198,92 bhp,110Nm@ 3750rpm,5,4,1204,10.3,1012,,Maharashtra,West
356,Toyota,2013,33200000,70000,Diesel,Dealer,Manual,Second_Owner,19.3 kmpl,1364,87 bhp,170Nm@ 1800-2400rpm,5,4,1480,6,1235,,Maharashtra,West
360,Toyota,2008,26975000,80000,Diesel,Individual,Manual,Fourth_Above_Owner,9.9 kmpl,2494,229 bhp,20.4@ 1400-3400(kgm@ rpm),7,8,3198,9.4,2382,,Maharashtra,West
361,Tata,2011,12450000,50000,Petrol,Individual,Manual,Second_Owner,11.6 kmpl,1193,159 bhp,100Nm@ 2700rpm,5,6,2669,8.3,1635,,Karnataka,South
362,Hyundai,2013,57270000,68000,Petrol,Dealer,Automatic,First_Owner,6.6 kmpl,1797,228 bhp,177.5Nm@ 4700rpm,5,8,3659,7.1,2134,,Delhi,North
374,Tata,2015,41749000,110000,Diesel,Individual,Manual,First_Owner,17.4 kmpl,2179,134 bhp,320Nm@ 1500-3000rpm,7,5,1829,7,1254,,Delhi,North
375,Volvo,2019,315400000,20000,Diesel,Individual,Automatic,First_Owner,21.8 kmpl,1969,101 bhp,400Nm,5,4,1514,12.2,1257,,Maharashtra,West
380,Toyota,2013,62250000,79328,Diesel,Trustmark_Dealer,Manual,Second_Owner,13.1 kmpl,2494,135 bhp,200Nm@ 1200-3600rpm,7,5,1819,6.6,1497,,Delhi,North
388,Skoda,2016,53535000,11000,Petrol,Dealer,Automatic,First_Owner,11.8 kmpl,1598,254 bhp,153Nm@ 3800rpm,5,8,3520,6.2,1930,,Delhi,North
389,Volvo,2018,205425000,2000,Diesel,Dealer,Automatic,First_Owner,10.3 kmpl,1984,140 bhp,350Nm@ 1500-2750rpm,5,6,2706,6.4,1521,,Maharashtra,West
390,Hyundai,2010,12450000,106000,Petrol,Individual,Manual,Third_Owner,7.0 kmpl,1197,210 bhp,111.7Nm@ 4000rpm,5,8,3330,8.3,2011,,Delhi,North
400,Honda,2018,90055000,1000,Petrol,Individual,Automatic,First_Owner,10.2 kmpl,1497,157 bhp,145Nm@ 4600rpm,5,6,2211,11.8,1747,,West Bengal,East
403,Maruti,2020,34029917,35000,CNG,Individual,Manual,First_Owner,12.0 kmpl,1196,139 bhp,85Nm@ 3000rpm,5,6,2708,9.9,1627,,Tamil Nadu,South
404,Maruti,2014,17845000,80000,Petrol,Individual,Manual,Second_Owner,23.7 kmpl,998,73 bhp,90Nm@ 3500rpm,5,3,1132,8.1,993,,Tamil Nadu,South
405,Mahindra,2016,107070000,50000,Diesel,Individual,Automatic,First_Owner,16.2 kmpl,2179,99 bhp,330Nm@ 1600-2800rpm,7,4,1261,12.3,1185,,Maharashtra,West
406,Maruti,2010,12450000,80000,Petrol,Individual,Manual,First_Owner,10.3 kmpl,998,234 bhp,90Nm@ 3500rpm,5,8,3677,6.8,2069,,Karnataka,South
411,Lexus,2019,427450000,20000,Petrol,Dealer,Automatic,First_Owner,11.2 kmpl,2487,172 bhp,202Nm@ 3600-5200rpm,5,6,2533,4.3,1495,,Maharashtra,West
415,Toyota,2016,166000000,68089,Petrol,Trustmark_Dealer,Automatic,First_Owner,11.3 kmpl,2494,289 bhp,213Nm@ 4500rpm,5,8,3761,7.7,1933,,Karnataka,South
416,Maruti,2013,18675000,58343,Petrol,Trustmark_Dealer,Manual,First_Owner,9.4 kmpl,998,188 bhp,90Nm@ 3500rpm,5,8,3325,7,2443,,Tamil Nadu,South
423,Hyundai,2017,37350000,56290,Diesel,Dealer,Manual,First_Owner,11.1 kmpl,1186,160 bhp,190.24nm@ 1750-2250rpm,5,6,2989,5.4,1659,,Maharashtra,West
424,BMW,2019,448200000,7500,Diesel,Dealer,Automatic,First_Owner,16.4 kmpl,1995,124 bhp,400Nm@ 1750-2500rpm,5,5,1785,5.3,1460,,West Bengal,East
435,Maruti,2017,74700000,50000,Diesel,Individual,Manual,First_Owner,16.2 kmpl,1248,78 bhp,190Nm@ 2000rpm,5,4,1207,12.2,1248,,Delhi,North
436,Toyota,2008,47310000,134000,Diesel,Individual,Manual,Second_Owner,21.5 kmpl,2494,77 bhp,20.4@ 1400-3400(kgm@ rpm),7,4,1423,9.4,1270,,Karnataka,South
437,Nissan,2011,21164917,110000,Diesel,Individual,Manual,Second_Owner,22.9 kmpl,1461,60 bhp,160Nm@ 2000rpm,5,3,1094,6.5,856,,Delhi,North
463,Hyundai,2015,49800000,35000,Petrol,Individual,Manual,First_Owner,24.7 kmpl,1197,65 bhp,114.7Nm@ 4000rpm,5,3,926,12.3,906,,Delhi,North
473,Tata,2011,16600000,110000,Diesel,Individual,Manual,Second_Owner,25.0 kmpl,1405,57 bhp,135 Nm at 2500  rpm ,5,3,861,9.5,906,,Maharashtra,West
476,Mahindra,2016,23240000,100000,Diesel,Individual,Manual,First_Owner,21.7 kmpl,1198,91 bhp,190Nm@ 1750-2250rpm,6,4,1548,12,1265,,Delhi,North
477,Maruti,2014,50630000,21000,Petrol,Individual,Manual,First_Owner,17.7 kmpl,1373,128 bhp,130Nm@ 4000rpm,7,5,1853,5,1465,,West Bengal,East
480,Hyundai,2008,19089917,50000,Petrol,Individual,Manual,First_Owner,15.3 kmpl,1086,92 bhp,99.04Nm@ 4500rpm,5,4,1350,9,1112,,Delhi,North
481,Maruti,2010,16600000,65000,Petrol,Individual,Manual,Second_Owner,20.9 kmpl,998,71 bhp,90Nm@ 3500rpm,5,4,1540,9,1078,,Maharashtra,West
482,Maruti,2011,16600000,80000,Petrol,Individual,Manual,First_Owner,15.1 kmpl,998,76 bhp,90Nm@ 3500rpm,5,4,1397,6.8,1062,,West Bengal,East
486,Hyundai,2016,63080000,20000,Petrol,Individual,Manual,First_Owner,20.1 kmpl,1591,95 bhp,154.9Nm@ 4200rpm,5,4,1410,7.2,1219,,Tamil Nadu,South
487,Maruti,2014,35690000,80000,Diesel,Individual,Manual,Second_Owner,13.3 kmpl,1248,119 bhp,190Nm@ 2000rpm,5,5,1885,9.4,1365,,Delhi,North
489,Kia,2019,53369000,10000,Diesel,Individual,Manual,First_Owner,24.7 kmpl,1493,78 bhp,250nm@ 1500-2750rpm,5,3,851,10.9,838,,Maharashtra,West
504,Chevrolet,2013,24900000,50000,Diesel,Individual,Manual,First_Owner,8.3 kmpl,936,216 bhp,150Nm@ 1750rpm,5,8,3875,5.2,1934,,Tamil Nadu,South
514,Maruti,2008,15770000,80000,Diesel,Individual,Manual,Second_Owner,23.7 kmpl,1248,72 bhp,190Nm@ 2000rpm,5,3,1152,10.5,895,,Tamil Nadu,South
527,Jeep,2018,132800000,14000,Diesel,Individual,Manual,First_Owner,24.9 kmpl,1956,70 bhp,350Nm@ 1750-2500rpm,5,3,1009,8.9,873,,Karnataka,South
528,Honda,2015,74700000,22000,Petrol,Individual,Manual,First_Owner,7.5 kmpl,1497,202 bhp,145Nm@ 4600rpm,5,8,3480,9.7,1633,,West Bengal,East
529,Volkswagen,2012,37350000,90000,Diesel,Individual,Manual,First_Owner,15.6 kmpl,1598,76 bhp,250Nm@ 1500-2500rpm,5,4,1550,11,1229,,Delhi,North
532,Tata,2014,26311000,15000,Diesel,Individual,Manual,First_Owner,16.3 kmpl,1405,136 bhp,135Nm@ 2500rpm,7,5,1870,5.3,1352,,Maharashtra,West
533,Maruti,2015,49800000,40000,Petrol,Individual,Manual,Second_Owner,15.7 kmpl,1373,101 bhp,130Nm@ 4000rpm,7,5,1957,7.8,1487,,Karnataka,South
534,Hyundai,2014,27390000,30000,Petrol,Individual,Manual,Second_Owner,20.2 kmpl,1197,56 bhp,113.7Nm@ 4000rpm,5,3,882,11.8,813,,West Bengal,East
544,Toyota,2013,83000000,190000,Diesel,Individual,Manual,First_Owner,9.3 kmpl,2494,215 bhp,200Nm@ 1200-3600rpm,8,8,3289,4.9,2310,,Karnataka,South
545,Mahindra,2010,41085000,100000,Diesel,Individual,Manual,Second_Owner,10.8 kmpl,2523,173 bhp,180 Nm at 1440-1500rpm,7,6,2986,7.3,1606,,West Bengal,East
574,Skoda,2015,24900000,101500,Diesel,Individual,Manual,Second_Owner,18.1 kmpl,1498,92 bhp,250Nm@ 1500-2500rpm,5,4,1464,9.6,1258,,West Bengal,East
588,Toyota,2009,46563000,170000,Diesel,Individual,Manual,Third_Owner,23.4 kmpl,2494,62 bhp,20.4@ 1400-3400(kgm@ rpm),8,3,822,11.7,934,,Delhi,North
602,Ford,2015,46065000,20000,Petrol,Individual,Manual,Second_Owner,14.7 kmpl,1499,113 bhp,140Nm@ 4400rpm,5,5,1852,7.4,1470,,West Bengal,East
603,Hyundai,2018,48140000,30000,Petrol,Individual,Automatic,First_Owner,11.0 kmpl,1197,289 bhp,113.75nm@ 4000rpm,5,8,3499,3.6,2301,,Karnataka,South
605,Tata,2011,14525000,20000,Diesel,Individual,Manual,First_Owner,6.4 kmpl,1948,257 bhp,"115@ 2,500(kgm@ rpm)",10,8,3067,9.6,2007,,West Bengal,East
606,Tata,2009,14940000,120000,Diesel,Individual,Manual,Second_Owner,21.6 kmpl,1248,60 bhp,200Nm@ 1750-3000rpm,5,3,1112,11.7,956,,Delhi,North
609,Renault,2016,29050000,25000,Petrol,Individual,Manual,First_Owner,11.5 kmpl,999,157 bhp,91Nm@ 4250rpm,5,6,2386,8.6,1752,,Delhi,North
610,Mahindra,2011,34029917,50000,Diesel,Individual,Manual,Second_Owner,17.3 kmpl,2523,109 bhp,180 Nm at 1440-1500rpm,7,5,1978,9.5,1339,,Karnataka,South
611,Mahindra,2017,54365000,126000,Diesel,Individual,Manual,First_Owner,24.6 kmpl,1493,78 bhp,240Nm@ 1600-2800rpm,7,3,812,12.7,895,,Tamil Nadu,South
612,Maruti,2015,30710000,170000,Diesel,Individual,Manual,First_Owner,10.6 kmpl,1248,166 bhp,190Nm@ 2000rpm,5,6,2108,6,1548,,Tamil Nadu,South
621,Maruti,2017,24900000,30000,Petrol,Individual,Manual,First_Owner,9.8 kmpl,998,200 bhp,90Nm@ 3500rpm,5,8,3306,11.1,1620,,West Bengal,East
622,Maruti,2017,59760000,80000,Diesel,Individual,Manual,First_Owner,19.5 kmpl,1248,75 bhp,200Nm@ 1750rpm,7,4,1444,8.8,1075,,Maharashtra,West
623,Tata,2016,53950000,50000,Diesel,Individual,Manual,Third_Owner,16.9 kmpl,2179,100 bhp,320Nm@ 1500-3000rpm,7,5,1989,10.9,1255,,West Bengal,East
630,Maruti,2015,20750000,52000,Petrol,Individual,Manual,First_Owner,15.8 kmpl,998,105 bhp,90Nm@ 3500rpm,5,5,1789,8.5,1347,,Karnataka,South
634,Maruti,2019,29880000,25000,Petrol,Individual,Manual,First_Owner,13.3 kmpl,998,160 bhp,90Nm@ 3500rpm,5,6,2729,12.3,1751,,Karnataka,South
682,Mercedes,2016,249000000,40000,Diesel,Individual,Automatic,First_Owner,24.7 kmpl,2143,60 bhp,500Nm@ 1600-1800rpm,5,3,1049,7,912,,Karnataka,South
683,Toyota,2012,101675000,160000,Diesel,Individual,Automatic,First_Owner,9.7 kmpl,2982,216 bhp,343Nm@ 1400-3400rpm,7,8,3077,7.6,1904,,Karnataka,South
684,Mahindra,2018,28220000,51492,Petrol,Individual,Manual,First_Owner,13.9 kmpl,1198,151 bhp,115Nm@ 3500-3600rpm,6,6,2171,4.7,1504,,Karnataka,South
685,Volkswagen,2011,24900000,72000,Diesel,Individual,Manual,Second_Owner,20.8 kmpl,1598,88 bhp,250Nm@ 1500-2500rpm,5,4,1475,6.5,1206,,Delhi,North
688,Hyundai,2014,19754000,60000,Petrol,Individual,Manual,First_Owner,19.7 kmpl,1086,73 bhp,96.1Nm@ 3000rpm,5,4,1441,9.9,1175,,Tamil Nadu,South
